date,rain_7d,rain_30d,rain_60d,rain_deficit_30d,temp_max_7d,temp_max_30d,hot_days_30d,ndvi,ndvi_30d_lag,ndvi_change_30d,ndvi_90d_avg,ndvi_deviation,fire_30d,fire_90d,days_since_fire,doy_sin,doy_cos,dry_season,park_id,ecosystem_id,fire_within_30d,drought_within_30d,vegetation_within_30d,park,ecosystem,ndvi_missing,split
2022-08-07,31.200000000000014,197.4,404.9,23.529032258064518,26.300000000000004,25.473333333333336,0.0,0.0594677378121478,0.5848582118751581,-0.5253904740630103,0.38637955923642364,-0.32691182142427583,0.0,0.0,123.0,-0.5856957398073508,-0.8105309990194823,0,2,2,0.0,0.0,0.0,gashaka_gumti,mixed,0,train
2022-08-07,22.699999999999996,276.90000000000003,584.9,13.819354838709728,30.32857142857143,29.266666666666666,0.0,,0.2061775958857455,,0.30735987096939943,,0.0,0.0,118.0,-0.5856957398073508,-0.8105309990194823,0,1,1,0.0,0.0,1.0,cross_river,rainforest,1,train
2022-08-07,92.30000000000001,158.5,175.1,-42.935483870967744,30.071428571428573,31.81,5.0,0.5544568969415115,0.2553651508292419,0.2990917461122696,0.26159464394948734,0.2928622529920241,18.0,370.0,24.0,-0.5856957398073508,-0.8105309990194823,0,4,3,0.0,0.0,1.0,chad_basin,sahel,0,train
2022-08-08,57.40000000000001,158.20000000000002,175.3,-43.23548387096773,30.585714285714285,31.66,5.0,0.5544568969415115,0.2553651508292419,0.2990917461122696,0.2649622728336322,0.28949462410787924,17.0,366.0,25.0,-0.5995514915196489,-0.8003361849976323,0,4,3,0.0,0.0,1.0,chad_basin,sahel,0,train
2022-08-08,42.5,233.4,372.7,-55.71290322580646,29.528571428571432,29.77333333333333,0.0,,0.2159477388441462,,0.2785443433709732,,0.0,0.0,130.0,-0.5995514915196489,-0.8003361849976323,0,3,0,0.0,0.0,0.0,kainji_lake,savanna,1,train
2022-08-08,0.9999999999999929,64.7,285.9,-80.75161290322579,29.057142857142857,29.073333333333334,0.0,0.4957102768504628,,,0.3613281940577732,0.1343820827926896,0.0,0.0,107.0,-0.5995514915196489,-0.8003361849976323,0,5,0,0.0,0.0,0.0,old_oyo,savanna,0,train
2022-08-08,25.30000000000002,189.6,405.40000000000003,15.729032258064507,26.24285714285714,25.566666666666666,0.0,0.0594677378121478,0.5848582118751581,-0.5253904740630103,0.3787289278941485,-0.3192611900820007,0.0,0.0,124.0,-0.5995514915196489,-0.8003361849976323,0,2,2,0.0,0.0,0.0,gashaka_gumti,mixed,0,train
2022-08-08,24.599999999999998,248.79999999999998,587.0,-14.280645161290323,30.414285714285715,29.276666666666667,0.0,,0.2061775958857455,,0.30735987096939943,,0.0,0.0,119.0,-0.5995514915196489,-0.8003361849976323,0,1,1,1.0,0.0,1.0,cross_river,rainforest,1,train
2022-08-08,39.0,153.9,224.1,-63.583870967741944,29.37142857142857,29.533333333333335,0.0,0.3146443048227627,0.2597384992971096,0.05490580552565305,0.17657291570784744,0.13807138911491523,0.0,2.0,62.0,-0.5995514915196489,-0.8003361849976323,0,0,0,0.0,0.0,0.0,yankari,savanna,0,train
2022-08-09,43.500000000000014,158.20000000000002,175.3,-43.23548387096773,31.08571428571429,31.53666666666667,4.0,0.4954690742708244,0.2871008500294824,0.208368224241342,0.26803402996806214,0.22743504430276223,13.0,363.0,26.0,-0.6132298262997502,-0.7899045386224707,0,4,3,0.0,0.0,1.0,chad_basin,sahel,0,train
